amfi_code,start_nav,end_nav,cagr,sharpe_ratio,sortino_ratio,max_drawdown,return_rank,sharpe_rank,sortino_rank,drawdown_rank,fund_score
119092,38.7466,50.8387,0.07026225480492942,0.03078485095458594,0.05257398559304803,-0.1440161790933726,33.0,31.0,31.0,26.0,31.3
119599,96.4565,105.4849,0.022620981549543284,-0.05718662582817995,-0.09438726129459606,-0.5257422117012851,38.0,32.0,32.0,1.0,31.300000000000004
119095,52.5238,56.1319,0.01674817365050152,-0.0759735711747892,-0.12818559275851926,-0.5167775370852656,39.0,33.0,33.0,2.0,32.300000000000004
120844,3180.6318,4268.5497,0.07632080814199216,-0.08874729621557288,-0.1877230477424223,-0.0011629327956168556,30.0,34.0,34.0,39.0,32.9
100016,520.4608,583.6113,0.029043933735676264,-0.20151706755966936,-0.3510474601523089,-0.24734440880673303,37.0,35.0,36.0,7.0,33.2
102886,119.2905,125.564,0.012895917806492685,-0.20583160785470309,-0.34722230254727265,-0.2800112356639287,40.0,36.0,35.0,6.0,34.4
119120,42.1391,54.2038,0.06496692408328952,-0.22657538662791576,-0.37676700817066683,-0.04328728923970093,34.0,37.0,37.0,36.0,35.7
118636,30.1152,37.8243,0.05863509417073387,-0.3566295075143678,-0.6135251287271023,-0.08316361763638702,35.0,38.0,38.0,35.0,36.5
101208,310.7415,410.1021,0.0718232754437853,-0.8155673679088263,-1.681037866751281,-0.0016224980244717857,32.0,40.0,40.0,38.0,36.599999999999994
100025,26.3169,31.8843,0.04914505777806144,-0.5670947928476846,-0.9418212366054204,-0.04308263824636349,36.0,39.0,39.0,37.0,37.60000000000001
